"","X","is.HVG"
"NPHP4","NPHP4",FALSE
"KCNAB2","KCNAB2",FALSE
"CHD5","CHD5",FALSE
"RPL22","RPL22",FALSE
"AL031847.1","AL031847.1",FALSE
"RNF207","RNF207",FALSE
"ICMT","ICMT",FALSE
"LINC00337","LINC00337",FALSE
"HES3","HES3",FALSE
"GPR153","GPR153",FALSE
"ACOT7","ACOT7",FALSE
"AL031848.2","AL031848.2",FALSE
"HES2","HES2",FALSE
"ESPN","ESPN",FALSE
"AL031848.1","AL031848.1",FALSE
"TNFRSF25","TNFRSF25",TRUE
"PLEKHG5","PLEKHG5",FALSE
"NOL9","NOL9",FALSE
"TAS1R1","TAS1R1",FALSE
"ZBTB48","ZBTB48",FALSE
"KLHL21","KLHL21",FALSE
"PHF13","PHF13",FALSE
"THAP3","THAP3",FALSE
"DNAJC11","DNAJC11",FALSE
"LINC01672","LINC01672",FALSE
"AL591163.1","AL591163.1",FALSE
"CAMTA1-DT","CAMTA1-DT",FALSE
"CAMTA1","CAMTA1",FALSE
"AL512330.1","AL512330.1",FALSE
"CAMTA1-IT1","CAMTA1-IT1",FALSE
"Z97987.1","Z97987.1",FALSE
"AL365194.1","AL365194.1",FALSE
"AL359881.3","AL359881.3",FALSE
"AL359881.2","AL359881.2",FALSE
"AL359881.1","AL359881.1",FALSE
"VAMP3","VAMP3",FALSE
"Z98884.2","Z98884.2",FALSE
"PER3","PER3",FALSE
"Z98884.1","Z98884.1",FALSE
"UTS2","UTS2",FALSE
"TNFRSF9","TNFRSF9",FALSE
"PARK7","PARK7",FALSE
"AL034417.4","AL034417.4",FALSE
"AL034417.3","AL034417.3",FALSE
"ERRFI1","ERRFI1",TRUE
"AL034417.2","AL034417.2",FALSE
"LINC01714","LINC01714",FALSE
"AL358876.2","AL358876.2",FALSE
"SLC45A1","SLC45A1",FALSE
"RERE","RERE",FALSE
"RERE-AS1","RERE-AS1",FALSE
"AL357552.2","AL357552.2",FALSE
"ENO1","ENO1",FALSE
"ENO1-AS1","ENO1-AS1",FALSE
"CA6","CA6",FALSE
"SLC2A7","SLC2A7",FALSE
"SLC2A5","SLC2A5",FALSE
"GPR157","GPR157",FALSE
"MIR34AHG","MIR34AHG",FALSE
"LNCTAM34A","LNCTAM34A",FALSE
"H6PD","H6PD",TRUE
"SPSB1","SPSB1",FALSE
"BX323043.1","BX323043.1",FALSE
"LINC02606","LINC02606",FALSE
"AL928921.1","AL928921.1",FALSE
"SLC25A33","SLC25A33",FALSE
"TMEM201","TMEM201",FALSE
"PIK3CD","PIK3CD",FALSE
"PIK3CD-AS1","PIK3CD-AS1",FALSE
"PIK3CD-AS2","PIK3CD-AS2",FALSE
"CLSTN1","CLSTN1",FALSE
"CTNNBIP1","CTNNBIP1",FALSE
"AL357140.1","AL357140.1",FALSE
"AL357140.4","AL357140.4",FALSE
"LZIC","LZIC",FALSE
"AL357140.2","AL357140.2",FALSE
"NMNAT1","NMNAT1",FALSE
"AL603962.1","AL603962.1",FALSE
"RBP7","RBP7",FALSE
"UBE4B","UBE4B",FALSE
"KIF1B","KIF1B",FALSE
"AL139424.3","AL139424.3",FALSE
"AL139424.2","AL139424.2",FALSE
"PGD","PGD",FALSE
"AL139424.1","AL139424.1",FALSE
"CENPS","CENPS",FALSE
"CORT","CORT",FALSE
"DFFA","DFFA",FALSE
"AL354956.1","AL354956.1",FALSE
"PEX14","PEX14",FALSE
"AL139423.2","AL139423.2",FALSE
"CASZ1","CASZ1",FALSE
"AL139423.1","AL139423.1",FALSE
"C1orf127","C1orf127",FALSE
"TARDBP","TARDBP",FALSE
"MASP2","MASP2",FALSE
"AL109811.2","AL109811.2",FALSE
"SRM","SRM",FALSE
"EXOSC10","EXOSC10",FALSE
"AL109811.1","AL109811.1",FALSE
"EXOSC10-AS1","EXOSC10-AS1",FALSE
"MTOR","MTOR",FALSE
"MTOR-AS1","MTOR-AS1",FALSE
"ANGPTL7","ANGPTL7",TRUE
"UBIAD1","UBIAD1",FALSE
"AL031291.1","AL031291.1",FALSE
"DISP3","DISP3",FALSE
"AL590989.1","AL590989.1",FALSE
"LINC01647","LINC01647",FALSE
"AL031731.1","AL031731.1",FALSE
"FBXO2","FBXO2",TRUE
"FBXO44","FBXO44",FALSE
"FBXO6","FBXO6",FALSE
"MAD2L2","MAD2L2",FALSE
"DRAXIN","DRAXIN",FALSE
"AGTRAP","AGTRAP",FALSE
"C1orf167","C1orf167",FALSE
"AL953897.1","AL953897.1",FALSE
"MTHFR","MTHFR",TRUE
"CLCN6","CLCN6",FALSE
"NPPA","NPPA",FALSE
"NPPB","NPPB",FALSE
"AL021155.5","AL021155.5",FALSE
"KIAA2013","KIAA2013",FALSE
"PLOD1","PLOD1",FALSE
"AL096840.2","AL096840.2",FALSE
"MFN2","MFN2",FALSE
"MIIP","MIIP",FALSE
"TNFRSF8","TNFRSF8",FALSE
"AL357835.1","AL357835.1",FALSE
"TNFRSF1B","TNFRSF1B",TRUE
"VPS13D","VPS13D",FALSE
"LINC02766","LINC02766",FALSE
"DHRS3","DHRS3",FALSE
"AC254633.1","AC254633.1",FALSE
"AADACL4","AADACL4",FALSE
"AADACL3","AADACL3",FALSE
"C1orf158","C1orf158",FALSE
"PRAMEF12","PRAMEF12",FALSE
"PRAMEF1","PRAMEF1",FALSE
"LINC01784","LINC01784",FALSE
"PRAMEF11","PRAMEF11",FALSE
"HNRNPCL1","HNRNPCL1",FALSE
"PRAMEF2","PRAMEF2",FALSE
"PRAMEF4","PRAMEF4",FALSE
"PRAMEF10","PRAMEF10",FALSE
"PRAMEF7","PRAMEF7",FALSE
"PRAMEF6","PRAMEF6",FALSE
"PRAMEF27","PRAMEF27",FALSE
"HNRNPCL3","HNRNPCL3",FALSE
"PRAMEF25","PRAMEF25",FALSE
"HNRNPCL2","HNRNPCL2",FALSE
"AC245056.1","AC245056.1",FALSE
"PRAMEF26","PRAMEF26",FALSE
"HNRNPCL4","HNRNPCL4",FALSE
"PRAMEF9","PRAMEF9",FALSE
"PRAMEF13","PRAMEF13",FALSE
"PRAMEF18","PRAMEF18",FALSE
"PRAMEF5","PRAMEF5",FALSE
"PRAMEF8","PRAMEF8",FALSE
"PRAMEF33","PRAMEF33",FALSE
"PRAMEF15","PRAMEF15",FALSE
"AC243961.1","AC243961.1",FALSE
"PRAMEF14","PRAMEF14",FALSE
"PRAMEF19","PRAMEF19",FALSE
"PRAMEF17","PRAMEF17",FALSE
"PRAMEF20","PRAMEF20",FALSE
"LRRC38","LRRC38",FALSE
"AL354712.1","AL354712.1",FALSE
"PDPN","PDPN",TRUE
"AL359771.1","AL359771.1",FALSE
"PRDM2","PRDM2",TRUE
"KAZN","KAZN",FALSE
"AL357873.1","AL357873.1",FALSE
"KAZN-AS1","KAZN-AS1",FALSE
"AL031293.1","AL031293.1",FALSE
"TMEM51-AS1","TMEM51-AS1",FALSE
"TMEM51","TMEM51",FALSE
"C1orf195","C1orf195",FALSE
"FHAD1","FHAD1",FALSE
"AL031283.2","AL031283.2",FALSE
"AL031283.3","AL031283.3",FALSE
"AL031283.1","AL031283.1",FALSE
"EFHD2","EFHD2",FALSE
"CTRC","CTRC",FALSE
"CELA2A","CELA2A",FALSE
"CELA2B","CELA2B",FALSE
"CASP9","CASP9",FALSE
"DNAJC16","DNAJC16",FALSE
"AL121992.3","AL121992.3",FALSE
"AGMAT","AGMAT",FALSE
"AL121992.1","AL121992.1",FALSE
"DDI2","DDI2",FALSE
"RSC1A1","RSC1A1",FALSE
"AL121992.2","AL121992.2",FALSE
"PLEKHM2","PLEKHM2",FALSE
"AL450998.3","AL450998.3",FALSE
"SLC25A34","SLC25A34",TRUE
"SLC25A34-AS1","SLC25A34-AS1",FALSE
"TMEM82","TMEM82",FALSE
"FBLIM1","FBLIM1",FALSE
"UQCRHL","UQCRHL",FALSE
"AL450998.2","AL450998.2",FALSE
"SPEN","SPEN",FALSE
"ZBTB17","ZBTB17",FALSE
"SRARP","SRARP",FALSE
"AL355994.3","AL355994.3",FALSE
"HSPB7","HSPB7",TRUE
"CLCNKA","CLCNKA",FALSE
"CLCNKB","CLCNKB",FALSE
"FAM131C","FAM131C",FALSE
"EPHA2","EPHA2",FALSE
"AL451042.2","AL451042.2",FALSE
"AL451042.1","AL451042.1",FALSE
"ARHGEF19-AS1","ARHGEF19-AS1",FALSE
"ARHGEF19","ARHGEF19",FALSE
"AL109627.1","AL109627.1",FALSE
"CPLANE2","CPLANE2",FALSE
"FBXO42","FBXO42",TRUE
"SZRD1","SZRD1",FALSE
"SPATA21","SPATA21",FALSE
"NECAP2","NECAP2",FALSE
"LINC01772","LINC01772",FALSE
"AL137802.2","AL137802.2",FALSE
"AL137802.1","AL137802.1",FALSE
"LINC01783","LINC01783",FALSE
"NBPF1","NBPF1",FALSE
"AL137798.1","AL137798.1",FALSE
"AL137798.2","AL137798.2",FALSE
"AL021920.1","AL021920.1",FALSE
"AL021920.3","AL021920.3",FALSE
"CROCC","CROCC",FALSE
"BX284668.1","BX284668.1",FALSE
"BX284668.2","BX284668.2",FALSE
"BX284668.5","BX284668.5",FALSE
"BX284668.6","BX284668.6",FALSE
"MFAP2","MFAP2",TRUE
"AL049569.2","AL049569.2",FALSE
"AL049569.1","AL049569.1",FALSE
"ATP13A2","ATP13A2",FALSE
"SDHB","SDHB",FALSE
"PADI2","PADI2",FALSE
"LINC02783","LINC02783",FALSE
"AL590644.1","AL590644.1",FALSE
"PADI1","PADI1",FALSE
"PADI3","PADI3",FALSE
"PADI4","PADI4",FALSE
"PADI6","PADI6",FALSE
"RCC2-AS1","RCC2-AS1",FALSE
"RCC2","RCC2",FALSE
"ARHGEF10L","ARHGEF10L",FALSE
"LINC02810","LINC02810",FALSE
"ACTL8","ACTL8",FALSE
"AL357509.1","AL357509.1",FALSE
"LINC01654","LINC01654",FALSE
"IGSF21","IGSF21",FALSE
"IGSF21-AS1","IGSF21-AS1",FALSE
"AL591896.1","AL591896.1",FALSE
"KLHDC7A","KLHDC7A",FALSE
"PAX7","PAX7",FALSE
"TAS1R2","TAS1R2",FALSE
"ALDH4A1","ALDH4A1",FALSE
"IFFO2","IFFO2",FALSE
"AL137127.1","AL137127.1",FALSE
"UBR4","UBR4",FALSE
"EMC1-AS1","EMC1-AS1",FALSE
"EMC1","EMC1",FALSE
"MRTO4","MRTO4",FALSE
"AKR7A3","AKR7A3",FALSE
"AKR7A2","AKR7A2",FALSE
"SLC66A1","SLC66A1",FALSE
"CAPZB","CAPZB",FALSE
"MICOS10","MICOS10",FALSE
"AL031727.2","AL031727.2",FALSE
"NBL1","NBL1",TRUE
"HTR6","HTR6",FALSE
"TMCO4","TMCO4",FALSE
"RNF186","RNF186",FALSE
"AL391883.1","AL391883.1",FALSE
"OTUD3","OTUD3",FALSE
"PLA2G2E","PLA2G2E",FALSE
"PLA2G2A","PLA2G2A",TRUE
"PLA2G5","PLA2G5",FALSE
"PLA2G2D","PLA2G2D",FALSE
"PLA2G2F","PLA2G2F",FALSE
"Z98257.1","Z98257.1",FALSE
"PLA2G2C","PLA2G2C",FALSE
"UBXN10-AS1","UBXN10-AS1",FALSE
"UBXN10","UBXN10",FALSE
"LINC01757","LINC01757",FALSE
"Z98257.2","Z98257.2",FALSE
"VWA5B1","VWA5B1",FALSE
"AL020998.1","AL020998.1",FALSE
"LINC01141","LINC01141",FALSE
"AL139254.1","AL139254.1",FALSE
"AL139254.2","AL139254.2",FALSE
"AL139254.3","AL139254.3",FALSE
"CAMK2N1","CAMK2N1",TRUE
"MUL1","MUL1",FALSE
"FAM43B","FAM43B",FALSE
"CDA","CDA",FALSE
"PINK1","PINK1",TRUE
"PINK1-AS","PINK1-AS",FALSE
"DDOST","DDOST",FALSE
"KIF17","KIF17",FALSE
"SH2D5","SH2D5",FALSE
"AL663074.1","AL663074.1",FALSE
"HP1BP3","HP1BP3",FALSE
"EIF4G3","EIF4G3",TRUE
"AL031005.2","AL031005.2",FALSE
"ECE1","ECE1",FALSE
"AL031005.1","AL031005.1",FALSE
"AL031728.1","AL031728.1",FALSE
"AL592309.2","AL592309.2",FALSE
"NBPF3","NBPF3",FALSE
"ALPL","ALPL",FALSE
"LINC02596","LINC02596",FALSE
"RAP1GAP","RAP1GAP",FALSE
"USP48","USP48",TRUE
"LDLRAD2","LDLRAD2",FALSE
"HSPG2","HSPG2",FALSE
"CELA3B","CELA3B",FALSE
"CELA3A","CELA3A",FALSE
"LINC01635","LINC01635",FALSE
"LINC00339","LINC00339",FALSE
"CDC42","CDC42",FALSE
"CDC42-AS1","CDC42-AS1",FALSE
"CDC42-IT1","CDC42-IT1",FALSE
"WNT4","WNT4",FALSE
"AL445253.1","AL445253.1",FALSE
"ZBTB40","ZBTB40",TRUE
"ZBTB40-IT1","ZBTB40-IT1",FALSE
"EPHA8","EPHA8",FALSE
"C1QA","C1QA",TRUE
"C1QC","C1QC",TRUE
"C1QB","C1QB",TRUE
"EPHB2","EPHB2",FALSE
"AL512444.1","AL512444.1",FALSE
"LACTBL1","LACTBL1",FALSE
"TEX46","TEX46",FALSE
"KDM1A","KDM1A",FALSE
"AL031428.1","AL031428.1",FALSE
"LUZP1","LUZP1",FALSE
"HTR1D","HTR1D",FALSE
"LINC01355","LINC01355",FALSE
"AL109936.6","AL109936.6",FALSE
"HNRNPR","HNRNPR",FALSE
"ZNF436","ZNF436",FALSE
"ZNF436-AS1","ZNF436-AS1",FALSE
"AL109936.2","AL109936.2",FALSE
"TCEA3","TCEA3",FALSE
"ASAP3","ASAP3",FALSE
"E2F2","E2F2",FALSE
"AL021154.1","AL021154.1",FALSE
"ID3","ID3",TRUE
"AL450043.1","AL450043.1",FALSE
"MDS2","MDS2",FALSE
"RPL11","RPL11",FALSE
"ELOA-AS1","ELOA-AS1",FALSE
"ELOA","ELOA",FALSE
"PITHD1","PITHD1",FALSE
"LYPLA2","LYPLA2",FALSE
"GALE","GALE",FALSE
"HMGCL","HMGCL",FALSE
"FUCA1","FUCA1",FALSE
"CNR2","CNR2",FALSE
"AL590609.3","AL590609.3",FALSE
"PNRC2","PNRC2",FALSE
"SRSF10","SRSF10",FALSE
"AL591178.1","AL591178.1",FALSE
"MYOM3","MYOM3",FALSE
"AL591178.2","AL591178.2",FALSE
"IL22RA1","IL22RA1",FALSE
"IFNLR1","IFNLR1",FALSE
"LINC02800","LINC02800",FALSE
"AL138902.1","AL138902.1",FALSE
"GRHL3","GRHL3",FALSE
"STPG1","STPG1",FALSE
"NIPAL3","NIPAL3",FALSE
"RCAN3AS","RCAN3AS",FALSE
"RCAN3","RCAN3",FALSE
"NCMAP-DT","NCMAP-DT",FALSE
"NCMAP","NCMAP",FALSE
"SRRM1","SRRM1",FALSE
"AL445648.1","AL445648.1",FALSE
"CLIC4","CLIC4",TRUE
"RUNX3","RUNX3",FALSE
"AL445471.1","AL445471.1",FALSE
"AL445471.2","AL445471.2",FALSE
"LINC02793","LINC02793",FALSE
"AL050344.1","AL050344.1",FALSE
