"","X","is.HVG"
"NLGN1","NLGN1",FALSE
"NLGN1-AS1","NLGN1-AS1",FALSE
"NAALADL2","NAALADL2",FALSE
"NAALADL2-AS3","NAALADL2-AS3",FALSE
"NAALADL2-AS2","NAALADL2-AS2",FALSE
"AC008180.2","AC008180.2",FALSE
"NAALADL2-AS1","NAALADL2-AS1",FALSE
"AC104640.1","AC104640.1",FALSE
"LINC01208","LINC01208",FALSE
"LINC01209","LINC01209",FALSE
"TBL1XR1","TBL1XR1",FALSE
"TBL1XR1-AS1","TBL1XR1-AS1",FALSE
"LINC00501","LINC00501",FALSE
"AC117465.1","AC117465.1",FALSE
"LINC00578","LINC00578",FALSE
"AC026355.3","AC026355.3",FALSE
"AC026355.2","AC026355.2",FALSE
"LINC02015","LINC02015",FALSE
"AC007953.1","AC007953.1",FALSE
"AC007953.2","AC007953.2",FALSE
"AC110992.1","AC110992.1",FALSE
"AC117453.1","AC117453.1",FALSE
"KCNMB2","KCNMB2",FALSE
"LINC01014","LINC01014",FALSE
"KCNMB2-AS1","KCNMB2-AS1",FALSE
"ZMAT3","ZMAT3",FALSE
"AC076966.2","AC076966.2",FALSE
"PIK3CA","PIK3CA",TRUE
"KCNMB3","KCNMB3",FALSE
"ZNF639","ZNF639",FALSE
"AC007823.1","AC007823.1",FALSE
"MFN1","MFN1",FALSE
"GNB4","GNB4",TRUE
"AC007620.2","AC007620.2",FALSE
"AC007620.3","AC007620.3",FALSE
"ACTL6A","ACTL6A",FALSE
"AC090425.3","AC090425.3",FALSE
"AC090425.2","AC090425.2",FALSE
"MRPL47","MRPL47",FALSE
"NDUFB5","NDUFB5",FALSE
"USP13","USP13",FALSE
"PEX5L","PEX5L",FALSE
"AC007687.1","AC007687.1",FALSE
"PEX5L-AS1","PEX5L-AS1",FALSE
"PEX5L-AS2","PEX5L-AS2",FALSE
"AC092939.1","AC092939.1",FALSE
"LINC02053","LINC02053",FALSE
"AC125618.1","AC125618.1",FALSE
"TTC14","TTC14",TRUE
"CCDC39","CCDC39",FALSE
"CCDC39-AS1","CCDC39-AS1",FALSE
"AC108734.4","AC108734.4",FALSE
"FXR1","FXR1",FALSE
"DNAJC19","DNAJC19",FALSE
"SOX2-OT","SOX2-OT",FALSE
"AC068308.1","AC068308.1",FALSE
"AC125613.1","AC125613.1",FALSE
"SOX2","SOX2",FALSE
"LINC01206","LINC01206",FALSE
"AC012081.2","AC012081.2",FALSE
"AC012081.1","AC012081.1",FALSE
"AC109131.1","AC109131.1",FALSE
"AC084211.1","AC084211.1",FALSE
"LINC01994","LINC01994",FALSE
"LINC01995","LINC01995",FALSE
"AC021055.1","AC021055.1",FALSE
"LINC02031","LINC02031",FALSE
"AC083801.2","AC083801.2",FALSE
"AC069431.1","AC069431.1",FALSE
"ATP11B","ATP11B",FALSE
"AC092953.2","AC092953.2",FALSE
"DCUN1D1","DCUN1D1",FALSE
"MCCC1","MCCC1",FALSE
"MCCC1-AS1","MCCC1-AS1",FALSE
"LAMP3","LAMP3",FALSE
"MCF2L2","MCF2L2",FALSE
"B3GNT5","B3GNT5",FALSE
"KLHL6","KLHL6",FALSE
"KLHL6-AS1","KLHL6-AS1",FALSE
"KLHL24","KLHL24",FALSE
"YEATS2","YEATS2",FALSE
"YEATS2-AS1","YEATS2-AS1",FALSE
"MAP6D1","MAP6D1",FALSE
"PARL","PARL",FALSE
"ABCC5","ABCC5",FALSE
"ABCC5-AS1","ABCC5-AS1",FALSE
"HTR3D","HTR3D",FALSE
"HTR3C","HTR3C",FALSE
"HTR3E-AS1","HTR3E-AS1",FALSE
"HTR3E","HTR3E",FALSE
"AC131235.3","AC131235.3",FALSE
"AC131235.2","AC131235.2",FALSE
"EIF2B5","EIF2B5",FALSE
"DVL3","DVL3",FALSE
"AP2M1","AP2M1",FALSE
"ABCF3","ABCF3",FALSE
"VWA5B2","VWA5B2",FALSE
"ALG3","ALG3",FALSE
"EEF1AKMT4","EEF1AKMT4",FALSE
"CAMK2N2","CAMK2N2",FALSE
"ECE2","ECE2",FALSE
"PSMD2","PSMD2",FALSE
"EIF4G1","EIF4G1",FALSE
"FAM131A","FAM131A",FALSE
"CLCN2","CLCN2",FALSE
"POLR2H","POLR2H",FALSE
"THPO","THPO",FALSE
"CHRD","CHRD",FALSE
"LINC02054","LINC02054",FALSE
"LINC01839","LINC01839",FALSE
"LINC01840","LINC01840",FALSE
"EPHB3","EPHB3",FALSE
"MAGEF1","MAGEF1",FALSE
"AC107294.2","AC107294.2",FALSE
"LINC02069","LINC02069",FALSE
"AC107294.3","AC107294.3",FALSE
"AC107294.1","AC107294.1",FALSE
"VPS8","VPS8",TRUE
"C3orf70","C3orf70",TRUE
"EHHADH-AS1","EHHADH-AS1",FALSE
"EHHADH","EHHADH",FALSE
"MAP3K13","MAP3K13",FALSE
"TMEM41A","TMEM41A",FALSE
"AC099661.1","AC099661.1",FALSE
"LIPH","LIPH",FALSE
"SENP2","SENP2",FALSE
"IGF2BP2","IGF2BP2",FALSE
"IGF2BP2-AS1","IGF2BP2-AS1",FALSE
"TRA2B","TRA2B",FALSE
"ETV5","ETV5",TRUE
"ETV5-AS1","ETV5-AS1",FALSE
"DGKG","DGKG",FALSE
"LINC02020","LINC02020",FALSE
"LINC02052","LINC02052",FALSE
"LINC02051","LINC02051",FALSE
"CRYGS","CRYGS",FALSE
"TBCCD1","TBCCD1",FALSE
"DNAJB11","DNAJB11",FALSE
"AC068631.1","AC068631.1",FALSE
"AHSG","AHSG",FALSE
"FETUB","FETUB",FALSE
"HRG","HRG",FALSE
"KNG1","KNG1",FALSE
"AC112907.3","AC112907.3",FALSE
"EIF4A2","EIF4A2",FALSE
"RFC4","RFC4",FALSE
"AC112907.1","AC112907.1",FALSE
"LINC02043","LINC02043",FALSE
"ADIPOQ","ADIPOQ",FALSE
"ADIPOQ-AS1","ADIPOQ-AS1",FALSE
"ST6GAL1","ST6GAL1",FALSE
"RPL39L","RPL39L",FALSE
"AC007920.1","AC007920.1",FALSE
"RTP1","RTP1",FALSE
"MASP1","MASP1",TRUE
"AC007920.2","AC007920.2",FALSE
"RTP4","RTP4",FALSE
"LINC02041","LINC02041",FALSE
"SST","SST",FALSE
"RTP2","RTP2",FALSE
"AC072022.1","AC072022.1",FALSE
"BCL6","BCL6",FALSE
"AC072022.2","AC072022.2",FALSE
"AC108681.1","AC108681.1",FALSE
"AC068295.1","AC068295.1",FALSE
"LINC01991","LINC01991",FALSE
"AC092941.1","AC092941.1",FALSE
"AC092941.2","AC092941.2",FALSE
"AC022498.1","AC022498.1",FALSE
"LPP-AS2","LPP-AS2",FALSE
"LPP","LPP",TRUE
"LPP-AS1","LPP-AS1",FALSE
"TPRG1-AS1","TPRG1-AS1",FALSE
"TPRG1","TPRG1",FALSE
"TPRG1-AS2","TPRG1-AS2",FALSE
"TP63","TP63",FALSE
"P3H2","P3H2",TRUE
"P3H2-AS1","P3H2-AS1",FALSE
"CLDN1","CLDN1",FALSE
"CLDN16","CLDN16",FALSE
"TMEM207","TMEM207",FALSE
"IL1RAP","IL1RAP",FALSE
"AC108747.1","AC108747.1",FALSE
"LINC02013","LINC02013",FALSE
"GMNC","GMNC",FALSE
"OSTN","OSTN",FALSE
"OSTN-AS1","OSTN-AS1",FALSE
"UTS2B","UTS2B",FALSE
"CCDC50","CCDC50",FALSE
"AC073365.1","AC073365.1",FALSE
"PYDC2","PYDC2",FALSE
"AC026320.1","AC026320.1",FALSE
"AC026320.3","AC026320.3",FALSE
"FGF12","FGF12",FALSE
"FGF12-AS1","FGF12-AS1",FALSE
"FGF12-AS2","FGF12-AS2",FALSE
"FGF12-AS3","FGF12-AS3",FALSE
"MB21D2","MB21D2",FALSE
"AC092966.1","AC092966.1",FALSE
"PLAAT1","PLAAT1",FALSE
"ATP13A5","ATP13A5",FALSE
"ATP13A5-AS1","ATP13A5-AS1",FALSE
"ATP13A4","ATP13A4",FALSE
"ATP13A4-AS1","ATP13A4-AS1",FALSE
"OPA1","OPA1",FALSE
"OPA1-AS1","OPA1-AS1",FALSE
"AC069421.2","AC069421.2",FALSE
"AC069421.3","AC069421.3",FALSE
"LINC02038","LINC02038",FALSE
"LINC02026","LINC02026",FALSE
"AC024559.1","AC024559.1",FALSE
"LINC02028","LINC02028",FALSE
"AC024559.2","AC024559.2",FALSE
"AC080129.1","AC080129.1",FALSE
"AC080129.2","AC080129.2",FALSE
"HES1","HES1",FALSE
"LINC02036","LINC02036",FALSE
"LINC02037","LINC02037",FALSE
"LINC02048","LINC02048",FALSE
"LINC00887","LINC00887",FALSE
"AC117469.1","AC117469.1",FALSE
"CPN2","CPN2",FALSE
"LRRC15","LRRC15",FALSE
"GP5","GP5",FALSE
"ATP13A3","ATP13A3",FALSE
"LINC00884","LINC00884",FALSE
"AC108676.1","AC108676.1",FALSE
"TMEM44-AS1","TMEM44-AS1",FALSE
"TMEM44","TMEM44",FALSE
"AC046143.1","AC046143.1",FALSE
"AC046143.2","AC046143.2",FALSE
"LSG1","LSG1",FALSE
"FAM43A","FAM43A",FALSE
"AC106706.1","AC106706.1",FALSE
"AC106706.2","AC106706.2",FALSE
"LINC01968","LINC01968",FALSE
"LINC01972","LINC01972",FALSE
"AC090505.2","AC090505.2",FALSE
"XXYLT1","XXYLT1",FALSE
"XXYLT1-AS1","XXYLT1-AS1",FALSE
"XXYLT1-AS2","XXYLT1-AS2",FALSE
"AC090018.2","AC090018.2",FALSE
"ACAP2","ACAP2",FALSE
"ACAP2-IT1","ACAP2-IT1",FALSE
"PPP1R2","PPP1R2",FALSE
"AC069213.1","AC069213.1",FALSE
"APOD","APOD",TRUE
"AC233280.1","AC233280.1",FALSE
"MUC20","MUC20",TRUE
"MUC4","MUC4",TRUE
"LINC01983","LINC01983",FALSE
"TNK2","TNK2",TRUE
"AC124944.3","AC124944.3",FALSE
"TNK2-AS1","TNK2-AS1",FALSE
"AC024937.3","AC024937.3",FALSE
"TFRC","TFRC",FALSE
"LINC00885","LINC00885",FALSE
"ZDHHC19","ZDHHC19",FALSE
"SLC51A","SLC51A",FALSE
"PCYT1A","PCYT1A",FALSE
"AC069257.1","AC069257.1",FALSE
"TCTEX1D2","TCTEX1D2",FALSE
"TM4SF19-AS1","TM4SF19-AS1",FALSE
"TM4SF19","TM4SF19",FALSE
"UBXN7","UBXN7",TRUE
"UBXN7-AS1","UBXN7-AS1",FALSE
"RNF168","RNF168",FALSE
"AC117490.2","AC117490.2",FALSE
"SMCO1","SMCO1",FALSE
"WDR53","WDR53",FALSE
"FBXO45","FBXO45",FALSE
"AC092933.2","AC092933.2",FALSE
"LINC01063","LINC01063",FALSE
"NRROS","NRROS",FALSE
"PIGX","PIGX",FALSE
"CEP19","CEP19",FALSE
"PAK2","PAK2",FALSE
"SENP5","SENP5",FALSE
"AC016949.1","AC016949.1",FALSE
"NCBP2","NCBP2",FALSE
"NCBP2-AS1","NCBP2-AS1",FALSE
"NCBP2AS2","NCBP2AS2",FALSE
"PIGZ","PIGZ",FALSE
"AC011322.1","AC011322.1",FALSE
"MELTF","MELTF",TRUE
"MELTF-AS1","MELTF-AS1",FALSE
"DLG1","DLG1",FALSE
"DLG1-AS1","DLG1-AS1",FALSE
"AL121981.1","AL121981.1",FALSE
"AC128709.2","AC128709.2",FALSE
"AC128709.1","AC128709.1",FALSE
"AC128709.3","AC128709.3",FALSE
"LINC02012","LINC02012",FALSE
"BDH1","BDH1",FALSE
"AC024560.3","AC024560.3",FALSE
"AC024560.4","AC024560.4",FALSE
"AC024560.1","AC024560.1",FALSE
"AC024560.5","AC024560.5",FALSE
"RUBCN","RUBCN",FALSE
"FYTTD1","FYTTD1",FALSE
"AC055764.2","AC055764.2",FALSE
"LRCH3","LRCH3",TRUE
"AC055764.1","AC055764.1",FALSE
"IQCG","IQCG",FALSE
"RPL35A","RPL35A",FALSE
"LMLN","LMLN",FALSE
"AC135893.1","AC135893.1",FALSE
"LMLN-AS1","LMLN-AS1",FALSE
"ZNF595","ZNF595",FALSE
"ZNF718","ZNF718",FALSE
"AC253576.2","AC253576.2",FALSE
"ZNF732","ZNF732",FALSE
"AC079140.6","AC079140.6",FALSE
"ZNF141","ZNF141",FALSE
"AC092574.2","AC092574.2",FALSE
"AC092574.1","AC092574.1",FALSE
"ZNF721","ZNF721",FALSE
"PIGG","PIGG",FALSE
"TMEM271","TMEM271",FALSE
"AC116565.1","AC116565.1",FALSE
"PDE6B","PDE6B",FALSE
"AC107464.1","AC107464.1",FALSE
"AC107464.3","AC107464.3",FALSE
"ATP5ME","ATP5ME",FALSE
"MYL5","MYL5",FALSE
"SLC49A3","SLC49A3",FALSE
"PCGF3","PCGF3",FALSE
"AC107464.2","AC107464.2",FALSE
"AC139887.4","AC139887.4",FALSE
"AC139887.2","AC139887.2",FALSE
"AC139887.1","AC139887.1",FALSE
"CPLX1","CPLX1",FALSE
"AC139887.3","AC139887.3",FALSE
"AC139887.5","AC139887.5",FALSE
"GAK","GAK",FALSE
"TMEM175","TMEM175",FALSE
"DGKQ","DGKQ",FALSE
"SLC26A1","SLC26A1",FALSE
"IDUA","IDUA",FALSE
"FGFRL1","FGFRL1",TRUE
"AC019103.1","AC019103.1",FALSE
"RNF212","RNF212",FALSE
"AC092535.4","AC092535.4",FALSE
"AC092535.2","AC092535.2",FALSE
"SPON2","SPON2",FALSE
"AC092535.5","AC092535.5",FALSE
"CTBP1-AS","CTBP1-AS",FALSE
"CTBP1","CTBP1",FALSE
"CTBP1-DT","CTBP1-DT",FALSE
"MAEA","MAEA",FALSE
"UVSSA","UVSSA",FALSE
"AC078852.2","AC078852.2",FALSE
"AC078852.1","AC078852.1",FALSE
"CRIPAK","CRIPAK",FALSE
"NKX1-1","NKX1-1",FALSE
"AC147067.2","AC147067.2",FALSE
"AC147067.1","AC147067.1",FALSE
"FAM53A","FAM53A",FALSE
"SLBP","SLBP",FALSE
"AC016773.1","AC016773.1",FALSE
"TACC3","TACC3",FALSE
"TMEM129","TMEM129",FALSE
"FGFR3","FGFR3",TRUE
"LETM1","LETM1",FALSE
"NSD2","NSD2",FALSE
"NELFA","NELFA",FALSE
"C4orf48","C4orf48",FALSE
"NAT8L","NAT8L",FALSE
"POLN","POLN",FALSE
"HAUS3","HAUS3",TRUE
"AL136360.2","AL136360.2",FALSE
"MXD4","MXD4",FALSE
"ZFYVE28","ZFYVE28",FALSE
"AL158068.2","AL158068.2",FALSE
"CFAP99","CFAP99",FALSE
"RNF4","RNF4",FALSE
"AL645924.1","AL645924.1",FALSE
"FAM193A","FAM193A",FALSE
"TNIP2","TNIP2",FALSE
"SH3BP2","SH3BP2",TRUE
"ADD1","ADD1",FALSE
"AL121750.1","AL121750.1",FALSE
"MFSD10","MFSD10",FALSE
"NOP14-AS1","NOP14-AS1",FALSE
"NOP14","NOP14",FALSE
"GRK4","GRK4",FALSE
"HTT","HTT",FALSE
"HTT-AS","HTT-AS",FALSE
"MSANTD1","MSANTD1",FALSE
"RGS12","RGS12",FALSE
"HGFAC","HGFAC",FALSE
"AL590235.2","AL590235.2",FALSE
"DOK7","DOK7",FALSE
"LRPAP1","LRPAP1",FALSE
"AL590235.1","AL590235.1",FALSE
"LINC00955","LINC00955",FALSE
"AL121796.1","AL121796.1",FALSE
"LINC02171","LINC02171",FALSE
"LINC02600","LINC02600",FALSE
"ADRA2C","ADRA2C",FALSE
"OTOP1","OTOP1",FALSE
"TMEM128","TMEM128",FALSE
"LYAR","LYAR",FALSE
"ZBTB49","ZBTB49",FALSE
"AC105415.1","AC105415.1",FALSE
"NSG1","NSG1",FALSE
"STX18","STX18",FALSE
"STX18-IT1","STX18-IT1",FALSE
"STX18-AS1","STX18-AS1",FALSE
"LINC01396","LINC01396",FALSE
"MSX1","MSX1",FALSE
"CYTL1","CYTL1",TRUE
"STK32B","STK32B",TRUE
"LINC01587","LINC01587",FALSE
"EVC2","EVC2",FALSE
"EVC","EVC",FALSE
"CRMP1","CRMP1",FALSE
"C4orf50","C4orf50",FALSE
"JAKMIP1","JAKMIP1",FALSE
"AC092442.1","AC092442.1",FALSE
"AC113615.2","AC113615.2",FALSE
"AC113615.1","AC113615.1",FALSE
"WFS1","WFS1",FALSE
"AC116317.1","AC116317.1",FALSE
"PPP2R2C","PPP2R2C",FALSE
"MAN2B2","MAN2B2",TRUE
"MRFAP1","MRFAP1",FALSE
"LINC02482","LINC02482",FALSE
"AC093323.1","AC093323.1",FALSE
"LINC002481","LINC002481",FALSE
"S100P","S100P",TRUE
"MRFAP1L1","MRFAP1L1",FALSE
"BLOC1S4","BLOC1S4",FALSE
"AC106045.1","AC106045.1",FALSE
"KIAA0232","KIAA0232",FALSE
"TBC1D14","TBC1D14",FALSE
"AC097382.3","AC097382.3",FALSE
"AC097382.1","AC097382.1",FALSE
"AC097382.2","AC097382.2",FALSE
"CCDC96","CCDC96",FALSE
"TADA2B","TADA2B",FALSE
"GRPEL1","GRPEL1",FALSE
"LINC02447","LINC02447",FALSE
"SORCS2","SORCS2",TRUE
"PSAPL1","PSAPL1",FALSE
"AFAP1-AS1","AFAP1-AS1",FALSE
"AFAP1","AFAP1",FALSE
"AC112254.1","AC112254.1",FALSE
"AC097381.1","AC097381.1",FALSE
"ABLIM2","ABLIM2",FALSE
"AC097381.3","AC097381.3",FALSE
"AC097381.2","AC097381.2",FALSE
"SH3TC1","SH3TC1",FALSE
"HTRA3","HTRA3",TRUE
"LINC02517","LINC02517",FALSE
"AC104825.1","AC104825.1",FALSE
"ACOX3","ACOX3",FALSE
"TRMT44","TRMT44",FALSE
"AC105345.2","AC105345.2",FALSE
"AC105345.1","AC105345.1",FALSE
"GPR78","GPR78",FALSE
"CPZ","CPZ",FALSE
"AC209005.1","AC209005.1",FALSE
"HMX1","HMX1",FALSE
"AC116612.1","AC116612.1",FALSE
"AC108519.1","AC108519.1",FALSE
"AC073648.7","AC073648.7",FALSE
"FAM90A26","FAM90A26",FALSE
"USP17L10","USP17L10",FALSE
"USP17L11","USP17L11",FALSE
"USP17L12","USP17L12",FALSE
"USP17L13","USP17L13",FALSE
"USP17L15","USP17L15",FALSE
"USP17L17","USP17L17",FALSE
"USP17L18","USP17L18",FALSE
"USP17L19","USP17L19",FALSE
"USP17L20","USP17L20",FALSE
"USP17L21","USP17L21",FALSE
"USP17L22","USP17L22",FALSE
"USP17L23","USP17L23",FALSE
"USP17L24","USP17L24",FALSE
"USP17L25","USP17L25",FALSE
"USP17L26","USP17L26",FALSE
"USP17L5","USP17L5",FALSE
"USP17L27","USP17L27",FALSE
"USP17L28","USP17L28",FALSE
"USP17L29","USP17L29",FALSE
"USP17L30","USP17L30",FALSE
"DEFB131A","DEFB131A",FALSE
"AC105916.1","AC105916.1",FALSE
"SLC2A9","SLC2A9",FALSE
"DRD5","DRD5",FALSE
"AC108199.1","AC108199.1",FALSE
"AC005674.1","AC005674.1",FALSE
"AC005674.2","AC005674.2",FALSE
"WDR1","WDR1",FALSE
"ZNF518B","ZNF518B",FALSE
"AC005599.1","AC005599.1",FALSE
"CLNK","CLNK",FALSE
"AC084048.1","AC084048.1",FALSE
"LINC02498","LINC02498",FALSE
"HS3ST1","HS3ST1",TRUE
"AC006230.1","AC006230.1",FALSE
"AC025539.1","AC025539.1",FALSE
"AC005699.1","AC005699.1",FALSE
"LINC02360","LINC02360",FALSE
"AC108037.1","AC108037.1",FALSE
"LINC02270","LINC02270",FALSE
"AC007370.2","AC007370.2",FALSE
"AC007370.1","AC007370.1",FALSE
"RAB28","RAB28",TRUE
"AC006445.3","AC006445.3",FALSE
"LINC01097","LINC01097",FALSE
"NKX3-2","NKX3-2",FALSE
"LINC01096","LINC01096",FALSE
"BOD1L1","BOD1L1",TRUE
"LINC01182","LINC01182",FALSE
"AC007126.1","AC007126.1",FALSE
"AC073848.1","AC073848.1",FALSE
"AC092546.1","AC092546.1",FALSE
"AC006296.3","AC006296.3",FALSE
"AC006296.2","AC006296.2",FALSE
"AC006296.1","AC006296.1",FALSE
"LINC00504","LINC00504",FALSE
"CPEB2-DT","CPEB2-DT",FALSE
"CPEB2","CPEB2",FALSE
"AC098829.1","AC098829.1",FALSE
"C1QTNF7","C1QTNF7",FALSE
"AC099550.1","AC099550.1",FALSE
"CC2D2A","CC2D2A",FALSE
"AC116651.1","AC116651.1",FALSE
"FBXL5","FBXL5",FALSE
"FAM200B","FAM200B",FALSE
"BST1","BST1",FALSE
"CD38","CD38",FALSE
"FGFBP1","FGFBP1",FALSE
"FGFBP2","FGFBP2",TRUE
"PROM1","PROM1",FALSE
"AC108063.2","AC108063.2",FALSE
"TAPT1","TAPT1",FALSE
"AC108063.1","AC108063.1",FALSE
"TAPT1-AS1","TAPT1-AS1",FALSE
"AC006427.2","AC006427.2",FALSE
"AC097515.1","AC097515.1",FALSE
"LDB2","LDB2",TRUE
"AC104656.1","AC104656.1",FALSE
"AC106894.1","AC106894.1",FALSE
"LINC02493","LINC02493",FALSE
"QDPR","QDPR",FALSE
"CLRN2","CLRN2",FALSE
"LAP3","LAP3",FALSE
"AC006160.1","AC006160.1",FALSE
"MED28","MED28",FALSE
"FAM184B","FAM184B",FALSE
"DCAF16","DCAF16",FALSE
"NCAPG","NCAPG",FALSE
"LCORL","LCORL",FALSE
"AC093898.1","AC093898.1",FALSE
"AC093871.1","AC093871.1",FALSE
"LINC02438","LINC02438",FALSE
"AC024230.1","AC024230.1",FALSE
"AC110767.1","AC110767.1",FALSE
"SLIT2","SLIT2",TRUE
"SLIT2-IT1","SLIT2-IT1",FALSE
"PACRGL","PACRGL",FALSE
"KCNIP4","KCNIP4",FALSE
"AC097505.1","AC097505.1",FALSE
"AC110296.1","AC110296.1",FALSE
"AC096576.6","AC096576.6",FALSE
"AC096576.3","AC096576.3",FALSE
"AC096576.2","AC096576.2",FALSE
"KCNIP4-IT1","KCNIP4-IT1",FALSE
"AC096719.1","AC096719.1",FALSE
"ADGRA3","ADGRA3",FALSE
"AC097512.1","AC097512.1",FALSE
"AC092440.1","AC092440.1",FALSE
"AC093607.1","AC093607.1",FALSE
"ERVH-1","ERVH-1",FALSE
"PPARGC1A","PPARGC1A",FALSE
"AC092834.1","AC092834.1",FALSE
"DHX15","DHX15",FALSE
"LINC02473","LINC02473",FALSE
"SOD3","SOD3",TRUE
"CCDC149","CCDC149",FALSE
"LGI2","LGI2",FALSE
"SEPSECS","SEPSECS",FALSE
"SEPSECS-AS1","SEPSECS-AS1",FALSE
"PI4K2B","PI4K2B",FALSE
"AC104662.1","AC104662.1",FALSE
"ZCCHC4","ZCCHC4",FALSE
"ANAPC4","ANAPC4",FALSE
"AC105290.1","AC105290.1",FALSE
"SLC34A2","SLC34A2",TRUE
"SEL1L3","SEL1L3",FALSE
"AC092436.3","AC092436.3",FALSE
"SMIM20","SMIM20",FALSE
"AC133961.1","AC133961.1",FALSE
"LINC02357","LINC02357",FALSE
"RBPJ","RBPJ",FALSE
"CCKAR","CCKAR",FALSE
"TBC1D19","TBC1D19",FALSE
"STIM2","STIM2",FALSE
"STIM2-AS1","STIM2-AS1",FALSE
"AC024132.2","AC024132.2",FALSE
"AC024132.1","AC024132.1",FALSE
"LINC02261","LINC02261",FALSE
"AC024132.3","AC024132.3",FALSE
"AC007106.2","AC007106.2",FALSE
"AC007106.1","AC007106.1",FALSE
"AC093791.2","AC093791.2",FALSE
"AC093791.1","AC093791.1",FALSE
"AC097480.1","AC097480.1",FALSE
"AC097480.2","AC097480.2",FALSE
"LINC02364","LINC02364",FALSE
"AC068944.1","AC068944.1",FALSE
"AC109349.1","AC109349.1",FALSE
"LINC02472","LINC02472",FALSE
"AC098595.1","AC098595.1",FALSE
"PCDH7","PCDH7",TRUE
"AC097716.1","AC097716.1",FALSE
"LINC02497","LINC02497",FALSE
"AC104071.1","AC104071.1",FALSE
"LINC02501","LINC02501",FALSE
"LINC02506","LINC02506",FALSE
"AC097654.1","AC097654.1",FALSE
"LINC02353","LINC02353",FALSE
"AC116611.1","AC116611.1",FALSE
"AC093606.1","AC093606.1",FALSE
"AC097535.1","AC097535.1",FALSE
"AC079772.1","AC079772.1",FALSE
"AC016687.3","AC016687.3",FALSE
"AC016687.2","AC016687.2",FALSE
"LINC02484","LINC02484",FALSE
"AC110790.1","AC110790.1",FALSE
"AC093689.1","AC093689.1",FALSE
"ARAP2","ARAP2",FALSE
"AC104078.1","AC104078.1",FALSE
"DTHD1","DTHD1",FALSE
"AC104078.2","AC104078.2",FALSE
"LINC02505","LINC02505",FALSE
"AC093746.1","AC093746.1",FALSE
"LINC02616","LINC02616",FALSE
"AL136537.1","AL136537.1",FALSE
"NWD2","NWD2",FALSE
"C4orf19","C4orf19",FALSE
"AC022463.1","AC022463.1",FALSE
"AC027607.1","AC027607.1",FALSE
"RELL1","RELL1",FALSE
"PGM2","PGM2",FALSE
"TBC1D1","TBC1D1",TRUE
"PTTG2","PTTG2",FALSE
"AC098680.2","AC098680.2",FALSE
"AC098680.1","AC098680.1",FALSE
"LINC02513","LINC02513",FALSE
"LINC01258","LINC01258",FALSE
"LINC01259","LINC01259",FALSE
"LINC02278","LINC02278",FALSE
"KLF3-AS1","KLF3-AS1",FALSE
"AC021860.1","AC021860.1",FALSE
"KLF3","KLF3",FALSE
"TLR10","TLR10",FALSE
"TLR1","TLR1",FALSE
"TLR6","TLR6",FALSE
"FAM114A1","FAM114A1",FALSE
"TMEM156","TMEM156",FALSE
"KLHL5","KLHL5",FALSE
"AC079921.1","AC079921.1",FALSE
"AC079921.2","AC079921.2",FALSE
"WDR19","WDR19",TRUE
"RFC1","RFC1",TRUE
"KLB","KLB",FALSE
"RPL9","RPL9",FALSE
"LIAS","LIAS",FALSE
"UGDH","UGDH",FALSE
"UGDH-AS1","UGDH-AS1",FALSE
"AC021148.2","AC021148.2",FALSE
"SMIM14","SMIM14",FALSE
"AC108471.3","AC108471.3",FALSE
"AC108471.2","AC108471.2",FALSE
"UBE2K","UBE2K",FALSE
"PDS5A","PDS5A",FALSE
"N4BP2","N4BP2",FALSE
"AC095057.3","AC095057.3",FALSE
"AC095057.4","AC095057.4",FALSE
"RHOH","RHOH",FALSE
"AC095057.2","AC095057.2",FALSE
"LINC02265","LINC02265",FALSE
"CHRNA9","CHRNA9",FALSE
"RBM47","RBM47",FALSE
"AC098869.2","AC098869.2",FALSE
"AC131953.2","AC131953.2",FALSE
"NSUN7","NSUN7",FALSE
"APBB2","APBB2",TRUE
"AC131953.1","AC131953.1",FALSE
"UCHL1-AS1","UCHL1-AS1",FALSE
"UCHL1","UCHL1",TRUE
"LIMCH1","LIMCH1",TRUE
"AC108050.1","AC108050.1",FALSE
"AC105389.2","AC105389.2",FALSE
"PHOX2B","PHOX2B",FALSE
"AC105389.3","AC105389.3",FALSE
"AC105389.1","AC105389.1",FALSE
"LINC00682","LINC00682",FALSE
"AC108210.1","AC108210.1",FALSE
"TMEM33","TMEM33",FALSE
"DCAF4L1","DCAF4L1",FALSE
"AC106052.1","AC106052.1",FALSE
"SLC30A9","SLC30A9",FALSE
"BEND4","BEND4",FALSE
"AC111006.1","AC111006.1",FALSE
"AC024022.1","AC024022.1",FALSE
"SHISA3","SHISA3",FALSE
"ATP8A1","ATP8A1",FALSE
"AC096734.2","AC096734.2",FALSE
"AC096734.1","AC096734.1",FALSE
"GRXCR1","GRXCR1",FALSE
"AC111198.1","AC111198.1",FALSE
"AC097451.1","AC097451.1",FALSE
"LINC02383","LINC02383",FALSE
"AC080132.1","AC080132.1",FALSE
"AC114757.1","AC114757.1",FALSE
"LINC02475","LINC02475",FALSE
"KCTD8","KCTD8",FALSE
"YIPF7","YIPF7",FALSE
"GUF1","GUF1",FALSE
"GNPDA2","GNPDA2",FALSE
"AC096586.2","AC096586.2",FALSE
"AC096586.1","AC096586.1",FALSE
